dummy[]	data[]
1001	0.5433
1002	0.8544
1003	0.5531
1004	0.6579
1005	0.1798
1006	-0.1422
1007	0.4252
1008	-0.2185
1009	0.05884
1010	0.02798
1011	-0.1287
1012	-0.58
1013	-0.09866
1014	0.07828
1015	-0.4158
1016	-0.3276
1017	-0.4751
1018	-0.3769
1019	0.328
1020	-0.08559
1021	0.6487
1022	0.07013
1023	-0.3391
1024	-0.5837
1025	0.04969
1026	-0.08652
1027	-0.02055
1028	-0.1883
1029	0.1525
1030	0.07302
1031	-0.5119
1032	0.4293
1033	0.2219
1034	0.7613
1035	0.005678
1036	0.05677
1037	0.04322
1038	-0.01788
1039	0.2536
1040	0.1796
1041	0.3592
1042	0.008819
1043	-0.3809
1044	0.2994
1045	0.2812
1046	0.1916
1047	0.411
1048	0.282
1049	-0.3584
1050	0.3241
1051	-0.5536
1052	-0.03852
1053	-1.175E-4
1054	-0.1382
1055	0.3595
1056	0.4494
1057	-0.568
1058	0.5372
1059	0.2279
1060	-0.3844
1061	0.1681
1062	-0.2517
1063	0.03589
1064	-0.08076
1065	0.1571
1066	0.4455
1067	-0.6154
1068	-0.4014
1069	0.4042
1070	0.2262
1071	0.09548
1072	0.2475
1073	0.8733
1074	0.01283
1075	-0.04786
1076	-0.6299
1077	0.4788
1078	-0.04186
1079	0.4425
1080	-0.3247
1081	-0.2253
1082	0.2861
1083	-0.6897
1084	-0.07892
1085	0.007714
1086	0.6873
1087	-0.002487
1088	-0.4878
1089	-0.5119
1090	-0.6603
1091	0.01274
1092	0.5067
1093	0.006722
1094	-0.0144
1095	0.005715
1096	0.3013
1097	-0.5641
1098	-0.2284
1099	-1.157
1100	0.4128
1101	-0.324
1102	-0.9973
1103	0.2863
1104	0.03369
1105	-0.1642
1106	0.07597
1107	-0.1923
1108	0.1378
1109	-0.1243
1110	-0.4144
1111	-0.3792
1112	-0.4419
1113	-0.4192
1114	-0.1742
1115	0.204
1116	-0.1756
1117	0.1888
1118	-0.1606
1119	-0.1085
1120	0.6829
1121	-0.01353
1122	-0.1618
1123	0.9117
1124	0.8346
1125	0.4161
1126	0.2609
1127	0.3474
1128	0.4323
1129	1.058
1130	-0.1815
1131	-0.6905
1132	0.7311
1133	-0.3255
1134	0.2543
1135	-0.1066
1136	-0.5806
1137	0.3824
1138	0.4249
1139	0.4978
1140	0.351
1141	0.4709
1142	0.297
1143	-0.5126
1144	-0.3958
1145	0.2925
1146	0.02933
1147	-0.334
1148	0.6197
1149	0.04408
1150	0.0927
1151	-0.08798
1152	-0.5317
1153	-0.991
1154	0.2432
1155	0.492
1156	0.4973
1157	-0.6087
1158	0.004015
1159	-0.3635
1160	0.04372
1161	-0.3075
1162	-0.4949
1163	-0.1166
1164	0.2014
1165	0.3593
1166	-0.5836
1167	-0.5946
1168	1.01
1169	0.04232
1170	0.08395
1171	0.8269
1172	0.7998
1173	0.2726
1174	-0.0965
1175	0.176
1176	0.5063
1177	0.6258
1178	0.0987
1179	-0.2876
1180	0.4397
1181	0.07066
1182	-0.05736
1183	-1.075
1184	0.3681
1185	0.2352
1186	0.2203
1187	0.467
1188	-0.1823
1189	0.32
1190	0.541
1191	0.2088
1192	-1.075
1193	-0.2362
1194	-0.4282
1195	0.4906
1196	0.2149
1197	-0.01755
1198	-0.4135
1199	0.2931
1200	0.4152
1201	-0.1611
1202	0.1145
1203	0.2311
1204	0.441
1205	-0.02852
1206	0.4351
1207	-0.0403
1208	-0.03946
1209	0.1441
1210	0.9273
1211	0.07577
1212	0.3792
1213	0.5787
1214	-0.1027
1215	-0.04404
1216	-0.1113
1217	-0.2684
1218	0.1122
1219	0.00278
1220	0.1233
1221	0.3752
1222	0.1129
1223	-0.3878
1224	0.2827
1225	-0.5041
1226	0.3388
1227	0.1801
1228	0.715
1229	0.2359
1230	0.3988
1231	0.4656
1232	-0.005663
1233	-0.2232
1234	0.08361
1235	0.6113
1236	-0.345
1237	0.1378
1238	0.5235
1239	-0.07068
1240	0.3827
1241	0.309
1242	-0.3474
1243	0.1844
1244	-0.05381
1245	0.1883
1246	-0.08188
1247	0.7957
1248	0.3561
1249	-0.06197
1250	0.4164
1251	-0.09049
1252	0.1502
